Country or area,ISO Code,"Country
Letter Code",Region Code,Region,Major area Code,Major area,"Developed
region",Less Developed Regions,"Least developed
country","Less developed regions, excluding least developed countries","Total population of less than 90,000 by mid-2015",FP2020 country,Sexual activity among unmarried,Female sterilization,"Sub Saharan
Africa"
Tonga,776,TON,957,Polynesia,909,Oceania,No,Yes,No,Yes,No,No,1,14.8,No
Trinidad and Tobago,780,TTO,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,9.8,No
Tunisia,788,TUN,912,Northern Africa,903,Africa,No,Yes,No,Yes,No,No,0,3.3,No
Turkey,792,TUR,922,Western Asia,935,Asia,No,Yes,No,Yes,No,No,0,9.5,No
Turkmenistan,795,TKM,921,South-Central Asia,935,Asia,No,Yes,No,Yes,No,No,0,0.1,No
Turks and Caicos Islands,796,TCA,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,1,0,No
Tuvalu,798,TUV,957,Polynesia,909,Oceania,No,Yes,Yes,No,Yes,No,1,10.3,No
Uganda,800,UGA,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,2,Yes
Ukraine,804,UKR,923,Eastern Europe,908,Europe,Yes,No,No,No,No,No,1,1,No
United Arab Emirates,784,ARE,922,Western Asia,935,Asia,No,Yes,No,Yes,No,No,0,0,No
United Kingdom of Great Britain and Northern Ireland,826,GBR,924,Northern Europe,908,Europe,Yes,No,No,No,No,No,1,8,No
United Republic of Tanzania,834,TZA,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,4.5,Yes
United States of America,840,USA,905,Northern America,905,Northern America,Yes,No,No,No,No,No,1,21.8,No
United States Virgin Islands,850,VIR,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,16.5,No
Uruguay,858,URY,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,5.3,No
Uzbekistan,860,UZB,921,South-Central Asia,935,Asia,No,Yes,No,Yes,No,Yes,0,2.2,No
Vanuatu,548,VUT,928,Melanesia,909,Oceania,No,Yes,Yes,No,No,No,1,11.3,No
Venezuela (Bolivarian Republic of),862,VEN,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,0,No
Viet Nam,704,VNM,920,South-Eastern Asia,935,Asia,No,Yes,No,Yes,No,Yes,0,3.2,No
Wallis and Futuna Islands,876,WLF,957,Polynesia,909,Oceania,No,Yes,No,Yes,Yes,No,1,0,No
Western Sahara,732,ESH,912,Northern Africa,903,Africa,No,Yes,No,Yes,No,Yes,0,0,No
Yemen,887,YEM,922,Western Asia,935,Asia,No,Yes,Yes,No,No,Yes,0,2.5,No
Zambia,894,ZMB,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,2,Yes
Zimbabwe,716,ZWE,910,Eastern Africa,903,Africa,No,Yes,No,Yes,No,Yes,1,0.9,Yes
