Country.or.area,ISO.Code,Country.Letter.Code,Region.Code,Region,Major.area.Code,Major.area,Developed.region,Less.Developed.Regions,Least.developed.country,Less.developed.regions..excluding.least.developed.countries,Total.population.of.less.than.90.000.by.mid.2015,FP2020.country,Sexual.activity.among.unmarried,Sub.SaharanAfrica,WPP.small.country,WCU.data,Land.Locked.Developing.Countries..LLDC.,Small.Island.Developing.States..SIDS.
Senegal,686,SEN,11,Western Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,No,No
Serbia,688,SRB,39,Southern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Sierra Leone,694,SLE,11,Western Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,No,No
Singapore,702,SGP,35,South-eastern Asia,142,Asia,No,Yes,No,Yes,No,No,1,No,No,Yes,No,Yes
Slovakia,703,SVK,151,Eastern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Slovenia,705,SVN,39,Southern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Solomon Islands,90,SLB,54,Melanesia,9,Oceania,No,Yes,Yes,No,No,Yes,1,No,No,Yes,No,Yes
Somalia,706,SOM,14,Eastern Africa,2,Africa,No,Yes,Yes,No,No,Yes,0,Yes,No,Yes,No,No
South Africa,710,ZAF,18,Southern Africa,2,Africa,No,Yes,No,Yes,No,No,1,Yes,No,Yes,No,No
South Sudan,728,SSD,14,Eastern Africa,2,Africa,No,Yes,Yes,No,No,Yes,0,Yes,No,Yes,Yes,No
Spain,724,ESP,39,Southern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Sri Lanka,144,LKA,34,Southern Asia,142,Asia,No,Yes,No,Yes,No,Yes,0,No,No,Yes,No,No
State of Palestine,275,PSE,145,Western Asia,142,Asia,No,Yes,No,Yes,No,Yes,0,No,No,Yes,No,No
Sudan,729,SDN,15,Northern Africa,2,Africa,No,Yes,Yes,No,No,Yes,0,No,No,Yes,No,No
Suriname,740,SUR,5,South America,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,Yes
Sweden,752,SWE,154,Northern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Switzerland,756,CHE,155,Western Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Syrian Arab Republic,760,SYR,145,Western Asia,142,Asia,No,Yes,No,Yes,No,No,0,No,No,Yes,No,No
Tajikistan,762,TJK,143,Central Asia,142,Asia,No,Yes,No,Yes,No,Yes,0,No,No,Yes,Yes,No
Thailand,764,THA,35,South-eastern Asia,142,Asia,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
The former Yugoslav Republic of Macedonia,807,MKD,39,Southern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,Yes,No
Timor-Leste,626,TLS,35,South-eastern Asia,142,Asia,No,Yes,Yes,No,No,Yes,0,No,No,Yes,No,Yes
Togo,768,TGO,11,Western Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,No,No
